date,actual_mean_temp
6/20/2015,83
6/21/2015,84
6/22/2015,83
6/23/2015,87
6/24/2015,88
6/25/2015,86
6/26/2015,85
6/27/2015,82
6/28/2015,76
6/29/2015,73
6/30/2015,83
